state,ccn,facility_name,street_address,city,zip_code,fips_county,provider_subtype,reporting_source,dates_with_missing_data,certified_bed_count,component_hospitals,week_ending,days_at_100%,percentage_of_required_fields_reported,hospital_required_to_report_wed_only,total_beds,all_adult_hospital_beds,inpatient_beds,all_adult_hospital_inpatient_beds,inpatient_beds_used,all_adult_hospital_inpatient_bed_occupied,total_icu_beds,total_staffed_adult_icu_beds,icu_beds_used,staffed_adult_icu_bed_occupancy,total_ventilators,ventilators_used,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid,inpatient_ventilators_used_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_covid,hospital_onset_covid,overflow_covid,overflow_ventilators_used_covid,deaths_covid,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_all,previous_day_admission_adult_covid_confirmed_all,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_suspected,previous_day_total_ed_visits,previous_day_covid_ed_visits,total_patients_hospitalized_confirmed_influenza,previous_day_admission_influenza_confirmed,icu_patients_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,previous_day_deaths_influenza,previous_day_deaths_covid_and_influenza,previous_day_remdesivir_used,on_hand_supply_remdesivir_vials,critical_staffing_shortage_today,critical_staffing_shortage_anticipated_within_week,ppe_supply_management_source,on_hand_ventilator_supplies_in_days,n95_respirators_days_available,on_hand_supply_of_surgical_masks_in_days,on_hand_supply_of_eye_protection_in_days,on_hand_supply_of_single_use_surgical_gowns_in_days,on_hand_supply_of_gloves_in_days,able_to_obtain_ventilator_supplies,able_to_obtain_ventilator_medications,able_to_obtain_n95_masks,able_to_obtain_paprs,able_to_obtain_surgical_masks,able_to_obtain_eye_protection,able_to_obtain_single_use_gowns,able_to_obtain_gloves,able_to_maintain_ventilator_supplies,able_to_maintain_ventilator_medications,able_to_maintain_n95_masks,able_to_maintain_paprs,able_to_maintain_surgical_masks,able_to_maintain_eye_protection,able_to_maintain_single_use_gowns,able_to_maintain_gloves,able_to_maintain_lab_nasal_pharyngeal_swabs,able_to_maintain_lab_nasal_swabs,able_to_maintain_lab_viral_transport_media,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,on_hand_supply_therapeutic_b_bamlanivimab_courses,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_personnel_covid_vaccinated_doses_administered,total_personnel_covid_vaccinated_doses_none,total_personnel_covid_vaccinated_doses_one,total_personnel_covid_vaccinated_doses_all,total_personnel,previous_week_patients_covid_vaccinated_doses_one,previous_week_patients_covid_vaccinated_doses_all,Georeference
ND,351321,SOUTH CENTRAL HEALTH,1007 4TH AVE S,WISHEK,58495.0,51,Critical Access Hospitals,state,[],24,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-99.551538 46.255123)
PR,400111,HOSPITAL SAN CARLOS BORROMEO,CALLE CONCEPCION VERA AYALA #550 S,MOCA,676.0,99,Short Term,tt,[],108,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,
SD,430008,BROOKINGS HEALTH SYSTEM,300 22ND AVE,BROOKINGS,57006.0,11,Short Term,tt,[],49,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-96.768199 44.307686)
TN,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,38120.0,157,Short Term,tt,[],927,3,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Yes,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,POINT (-89.861362 35.130759)
TX,451349,SWISHER MEMORIAL HOSPITAL,539 SOUTHEAST 2ND,TULIA,79088.0,437,Critical Access Hospitals,tt,[],20,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-101.755862 34.535564)
TX,670109,ALTUS BAYTOWN HOSPITAL,1626 W BAKER ROAD,BAYTOWN,77521.0,201,Short Term,tt,[],14,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-94.981808 29.769813)
WI,521320,TOMAH MEMORIAL HOSPITAL,501 GOPHER DR,TOMAH,54660.0,81,Critical Access Hospitals,tt,[],15,1,04/07/2022 12:00:00 AM,7,1,false,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,true,false,true,true,true,true,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,
KS,174020,COTTONWOOD SPRINGS LLC,13351 S ARAPAHO DRIVE,OLATHE,66062.0,91,Psychiatric,tt,[],72,1,04/07/2022 12:00:00 AM,7,1,true,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-94.768837 38.885884)
NJ,314021,HAMPTON BEHAVIORAL HEALTH SYSTEM,650 RANCOCAS ROAD,WESTAMPTON,8060.0,5,Psychiatric,N/A,['2022-04-06'],125,,04/07/2022 12:00:00 AM,0,0,true,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,POINT (-74.846072 40.009597)
SC,424007,SPRINGBROOK BEHAVIORAL HEALTH SYSTEM,ONE HAVENWOOD LANE  PO BOX 1005,TRAVELERS REST,29690.0,45,Psychiatric,tt,[],62,1,04/07/2022 12:00:00 AM,7,1,true,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,
MI,231301,KALKASKA MEMORIAL HEALTH CENTER,419 S CORAL,KALKASKA,49646.0,79,Critical Access Hospitals,tt,[],8,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,true,false,true,true,true,true,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,POINT (-85.183732 44.731021)
CO,060044,COLORADO PLAINS MEDICAL CENTER,1000 LINCOLN ST,FORT MORGAN,80701.0,87,Short Term,tt,[],50,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-103.796216 40.260213)
FL,100259,SOUTH BAY HOSPITAL,4016 SUN CITY CENTER BLVD,SUN CITY CENTER,33573.0,57,Short Term,tt,[],112,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,No,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,POINT (-82.365296 27.712391)
AL,010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,36067.0,1,Short Term,state,[],85,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-86.450937 32.464204)
MO,264031,OSAGE BEACH CENTER FOR COGNITIVE DISORDERS,840 PASSOVER ROAD,OSAGE BEACH,65065.0,29,Psychiatric,tt,[],14,1,04/07/2022 12:00:00 AM,7,1,true,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,POINT (-92.629871 38.135427)
VA,494025,VIRGINIA BEACH PSYCHIATRIC CENTER,1100 FIRST COLONIAL ROAD,VIRGINIA BEACH,23454.0,810,Psychiatric,tt,[],100,1,04/07/2022 12:00:00 AM,7,1,true,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,POINT (-76.029112 36.865813)
TN,444026,"ERLANGER BEHAVIORAL HOSPITAL, LLC",804 NORTH HOLTZCLAW AVENUE,CHATTANOOGA,37404.0,65,Psychiatric,tt,[],88,1,04/07/2022 12:00:00 AM,7,1,true,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-85.276608 35.049982)
NV,290045,SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,3001 ST ROSE PARKWAY,HENDERSON,89052.0,3,Short Term,state/tt,[],326,1,04/07/2022 12:00:00 AM,7,1,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,0.0,0.0,0.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,
NJ,314016,GREYSTONE PARK PSYCH HOSP,59 KOCH AVENUE,GREYSTONE PARK,7950.0,27,Psychiatric,tt,[],468,1,04/07/2022 12:00:00 AM,7,1,true,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,POINT (-74.511284 40.834974)
IL,140191,INGALLS MEMORIAL HOSPITAL,1 INGALLS DRIVE,HARVEY,60426.0,31,Short Term,tt,[],582,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,3.0,3.0,7.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,POINT (-87.659484 41.606331)
KS,171380,NEOSHO MEMORIAL REGIONAL MEDICAL CENTER,629 SOUTH PLUMMER,CHANUTE,66720.0,133,Critical Access Hospitals,tt,[],25,1,04/07/2022 12:00:00 AM,7,1,false,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Yes,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,POINT (-95.470893 37.675268)
